Title,Video Link,Summary,Doc,Status,Catergory,Spanish,Date,Autor,Category,Description
Личные границы. Как защитить своё поле,https://www.youtube.com/watch?v=k8buJfQASyc,"Как можно защитить своё поле от посторонних вмешательств и как правильно вести себя в ситуациях, когда к нам приходят с разными мнениями и советами о нашей жизни и путях развития?",https://docs.google.com/document/d/1ja0niSFAlZ4ZY5dTA5ZT9D0OPT0mqrYKM9Qq0Cu5jAY/edit?usp=drivesdk,Done,Взаимоотношения и семья,https://docs.google.com/document/d/1VX-aBIPxvDQuWbPKjtI_708krYYAOv0lqsimpRaMty0/edit?usp=drivesdk,7/30/2024,Танюша,,
Сакральное использование энтеогенов,https://www.youtube.com/watch?v=Oct1Hknnxlw,Основной вопрос текста: Как использование медицины Буфо ведет себя в процессе лечения пациента и когда лучше ее применять?,https://docs.google.com/document/d/1iOd77LTOnS5WIhN3ZI3nXvpQrvFsiuhag2YxgGNm5N0/edit?usp=drivesdk,Done,Растения Учителя и Процесс Диеты,https://docs.google.com/document/d/1-_VbWrcfonLGMsmq-FTQmPfdbYOrg_z7wNkL9ye3ibI/edit?usp=drivesdk,6/4/2024,Алина,,
Служение,https://www.youtube.com/watch?v=ggxehZ5u4w4,Каким образом возникает призвание к служению и как внутренняя мудрость помогает нам в этом процессе?,https://docs.google.com/document/d/1vt0ZfE9rOFX77VRgiiz35b9Umty5DxJdbwqbAdlWk2A/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1_jWq11cc074kgusj6Vdm-_mGVJiPeippBVjbXz0SQkQ/edit?usp=drivesdk,4/18/2024,,,
Чудеса исцеления,https://www.youtube.com/watch?v=NKbhnpgUIVk,Какие чудеса исцеления вы испытали на практике и как можно классифицировать их как чудеса в контексте Вселенной?,https://docs.google.com/document/d/1JC9nEESwYxkNE1gkrkQCYGnAIzM217BQz71IoRRxQzE/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1Rhe4bkB9xk9vuKNl6cjhbL3SvHM-3A2iTC48ujFr2S4/edit?usp=drivesdk,4/18/2024,,,
Что хотят разрушительные силы. Откуда они появились,https://www.youtube.com/watch?v=b_QTPxCdWQU,"Какую цель преследуют разрушительные силы, и почему им нужно балансировать свою деятельность для предотвращения неравновесия во вселенском масштабе?",https://docs.google.com/document/d/12ZMrXowsVjM7fFKYqrWJiW7NhJtg2QURhtCqviSRYlg/edit?usp=drivesdk,Done,Энергетическая защита и очищение,https://docs.google.com/document/d/1UV_lUGk6r7rFPiLfUHD-MAEtpKH2MoLkFNfhD9kiBUs/edit?usp=drivesdk,1/26/2024,Танюша,,
Развитие и использование ума,https://www.youtube.com/watch?v=hBt4a1gkuic,Основной вопрос в тексте - как развивать и использовать внимание для обретения знания и возможности взаимопонимания через энергетическое тело?,https://docs.google.com/document/d/1q0w6Yn2JWxwuMfhOT-BbqVlpUI_AOqi7vQkFrgbxvKc/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1K-WlQR7EQf0bXER0NZiW-3YGrOizbVopvuXWaxFtT1o/edit?usp=drivesdk,12/30/2023,,,
Диета Охе и холод. Причины побочных действий,https://www.youtube.com/watch?v=0cCsm7KFOHc,Какие причины побочных действий диеты Охе и холода?,https://docs.google.com/document/d/1FZVIMT6N8aNuQFyuDWIess0qUxQheZAKmhOlsBqFADM/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1SZUNUvYIDjA0FR1ITIsGWMePdSbclQkLqt_iOxXVUgg/edit?usp=drivesdk,9/20/2023,,,
Аяуаска и диеты.,https://www.youtube.com/watch?v=padKmp0T0Ww,"Как определить, когда и сколько нужно пить айваску в своей диете?",https://docs.google.com/document/d/1vTJG1Vn6usNNPq_rczMW8ckMGytd7AsOAasb7tMOINs/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1FmE1xRwr-aM8OJHKrRBJnLj7oUaUaCWODOAxB7G7XJ0/edit?usp=drivesdk,9/20/2023,,,
Устройство мироздания. Опыт души от рождения до смерти. Христос в других телах,https://www.youtube.com/watch?v=eBAQF7HjIsA,"Каким является основной вопрос по поводу устройства мироздания и опыта души от рождения до смерти, а также роли Христа в других телах?",https://docs.google.com/document/d/1BPIT8EgrVH6EfFlKJPHnOsyXTDNrWuoOvMZKcSeMaDk/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1AwhnCe-tuxIk7vC2LDWW7k7-1xfaJBpTQ-CzeAFHPBU/edit?usp=drivesdk,9/10/2023,,,
Религиозные противоречия и ритуалы.  Сакральность девы Марии.  Подключение к божественной природе,https://www.youtube.com/watch?v=oIIYFutJwE4,"Основной вопрос текста: какие религиозные противоречия и ритуалы существуют в обществе, и как можно подключиться к божественной природе через сакральность девы Марии?",https://docs.google.com/document/d/1XAZfUwkjmP9lb1dxhhsWWwlq5wNtz_3YGqkjR3HWyIg/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1OQiAALT3I9jv39IROvR42H00ykiV3IJHelMSbM7o9uA/edit?usp=drivesdk,9/10/2023,Танюша,,
Различные подходы в Духовных практиках  Путь ЭГо или путь интеграции со вселенной,https://www.youtube.com/watch?v=xfUtyQFmJPU,"Основной вопрос текста: Какие различные подходы существуют в духовных практиках, и что представляет собой путь интеграции с Вселенной?",https://docs.google.com/document/d/16eeFKjDL6W4KvT3UPsH8x-0-Bm3QLBUYQD-WK_pPQDE/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1SCdt5CCCaMZvaBplrbAjZNn3MhwEC0YUL4VklEyeLCU/edit?usp=drivesdk,9/2/2023,,,
Выбор внутренней парадигмы 23.08.2023,https://www.youtube.com/watch?v=Fp5Kj6tibsM,Каков выбор внутренней парадигмы и как следовать простой жизни ради счастья и развития?,https://docs.google.com/document/d/1o7C4ymaBEkSgwE9BwEnuGLy52loEsdXk9Mpjl-g0h-0/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1a1_xT6gQdHYG0mdCLMWM9eejoSnBB457VSvI1mtQBU4/edit?usp=drivesdk,9/2/2023,,,
О новом человеке к 2027 году.  Различия двух планов сакрального и материального,https://www.youtube.com/watch?v=rl1uOqTDQO0,Какие эволюционные изменения ожидаются у человека к 2027 году и в чем различия двух планов - сакрального и материального?,https://docs.google.com/document/d/1hf6qB2SwYCShiNhfZJYCeyf5wDpI44Xo4S4RUDikLhI/edit?usp=drive_link,Done,Внутренние развитие,https://docs.google.com/document/d/12mTMI_6QchcFl5EKRz0L6RkNTmmUfrvctwiyh8l1A9Y/edit?usp=drive_link,9/1/2023,,,
Картина возможного будущего. Медитация 23.08.2023 г.,https://www.youtube.com/watch?v=n1cgEt5lGkk,"В какой степени Европа будет продолжать терять положение, и существуют ли на планете более благополучные места?",https://docs.google.com/document/d/1jEsVAdtkDosoH-2a6S38YwXF98tlXrWCW1hvUycw9-E/edit?usp=drivesdk,Not Edited,Медитации,https://docs.google.com/document/d/1Y6r7Px9DUpbWPXFVsN3ugVS-cYGaQSZPEgjtJFeYYVc/edit?usp=drivesdk,9/1/2023,,,
Воспитание детей,https://www.youtube.com/watch?v=QWfK3VWemek,"Как привить детям дисциплину без наказания и через мудрое наставничество, чтобы они понимали последствия своих действий и развивались в гармонии с собой и миром вокруг.",https://docs.google.com/document/d/1x0xx-6Llohft5hQnvWArGX2HPsgs-uH-29xmALjJ5Tg/edit?usp=drivesdk,Done,Взаимоотношения и семья,https://docs.google.com/document/d/1mfH_RBkUQAReNW28Z9B9YMsxCt5IdzEN66v2gMM6c4w/edit?usp=drivesdk,3/11/2023,,,
Боль от любви,https://www.youtube.com/watch?v=sKGbLobP4j0,Основной вопрос текста: Почему люди плачут от горя и как отличить болевые ощущения от естественных проявлений любви?,https://docs.google.com/document/d/1ddB2xWk3dNTpWuGprBxjjhRwaf4BI6QI9QsFN6Me_IA/edit?usp=drivesdk,Done,"Взаимоотношения и семья, Внутренние развитие",https://docs.google.com/document/d/1GhE7uCO7yEVKOSQqtQKGDGvHJI7et96sXMfcgNtp9bM/edit?usp=drivesdk,3/9/2023,,,
Сакральность марихуаны,https://www.youtube.com/watch?v=mpyGZ2P9wj0,Какова сакральность марихуаны и как она связана с энергетическими чипами и манипуляциями?,https://docs.google.com/document/d/1bvVllMGB8XVvaBqRqPeOY0vgVSTl7QQ2EB1HTZ0FqTM/edit?usp=drivesdk,Done,Растения Учителя и Процесс Диеты,https://docs.google.com/document/d/1r5dYla3uyt_2R5idBsWeXRjJ13UjeAOAcNXKpBZ-mm4/edit?usp=drivesdk,3/9/2023,Танюша,,
Сакральный код человека,https://www.youtube.com/watch?v=BtepuKzstgQ,"Как имя человека связано с его судьбой и энергетическим кодом, определяющим его уникальность?",https://docs.google.com/document/d/1knKVfMhXIIxLaX4fLeXAgGJwiFJGweS_ZpsP8eXZx5Y/edit?usp=drivesdk,In Process,Внутренние развитие,https://docs.google.com/document/d/1aRHqw3DXPhAZnnnvcVNLQnam514GWYBZLrSvngmUHp0/edit?usp=drivesdk,3/7/2023,,,
Методичка от Дос Мундоса,https://www.youtube.com/watch?v=vZo12CyfbDo,"Каково послание Досмундас и какие основные этапы следует пройти, чтобы прийти к желаемому результату?",https://docs.google.com/document/d/1HF1DccaSeVBh9zIgwOWO4U66EI48QuzlZsrRBAfvTiQ/edit?usp=drivesdk,Not Edited,Центр Дос Мундос,https://docs.google.com/document/d/11wVtvNBc6Ck3yQv0R7S6VfUfNTnG0rPsWPHk0JRBofg/edit?usp=drivesdk,3/7/2023,,,
Как очистить пространство от негатива,https://www.youtube.com/watch?v=HNMGHKU1Sf0,"Как очистить пространство от негатива и вернуть равновесие, когда чувствуешь нехорошую энергию в доме или обществе?",https://docs.google.com/document/d/1IWJx8Y6EYhM7Kd9Q09bIwbApeRaRNLeqSWlF0-Lk7MY/edit?usp=drivesdk,Done,Энергетическая защита и очищение,https://docs.google.com/document/d/1lfOg2XBeJureOZAx4BdWBo1BChT-BDdVBqUkxTQnHuI/edit?usp=drivesdk,3/7/2023,Шкарубо Лена,,
Диета с Cарсой,https://www.youtube.com/watch?v=iAOAXe0RTrg,Как работает Сарса на разных уровнях и как правильно ее использовать для диетирования?,https://docs.google.com/document/d/1xOIrCqCMF9wD1YKQN54EZsXZ-40gj-3pLpFTLlWjtwM/edit?usp=drivesdk,Not Edited,Растения Учителя и Процесс Диеты,https://docs.google.com/document/d/1aOAAjKIo9zBNZysi_lqEhdDVT5ez3ESv5eZRZBTyDP0/edit?usp=drivesdk,3/5/2023,,,
Про Камбо,https://www.youtube.com/watch?v=7GLL5lA4VVM,Основной вопрос в тексте: Почему Дон Пепе не работает с медициной Камбо и какие негативные моменты этого метода могут быть?,https://docs.google.com/document/d/1_Dy8u1mVtCbtqv3kbTqgHuaHdKRndxOArYcMPVEA3BM/edit?usp=drivesdk,Done,Растения Учителя и Процесс Диеты,https://docs.google.com/document/d/1qBBiCtwdDGSWv2Huk6zyf4eJscFxB8SfJuJ-utqNSKA/edit?usp=drivesdk,3/5/2023,Шкарубо Лена,,
Духовные наставники,https://www.youtube.com/watch?v=K2com-v4dnI,Основной вопрос текста: Как соединиться с духовными наставниками и каково значение их присутствия в нашей жизни?,https://docs.google.com/document/d/1WMwvTo7-6DYEQJ5shdKt4bdEn2CkGtqQtR_4hWolVk0/edit?usp=drivesdk,Not Edited,Внутренние развитие,https://docs.google.com/document/d/1MjIwhr35op9QwxomyzbNy94RkZDs-DwiMBTZ68eM84c/edit?usp=drivesdk,3/3/2023,,,
Подготовка нового поколения,https://www.youtube.com/watch?v=ESMNAsGnegE,Какие качества и навыки важно развивать у детей для жизни в новом мире и какие вызовы стоят перед родителями в современном обществе?,https://docs.google.com/document/d/1S-kGrtIRWno7LHaKWwFEc64npDrMb8zXFSja-fnRuiw/edit?usp=drivesdk,Not Edited,Взаимоотношения и семья,https://docs.google.com/document/d/1sfaDf0e_oWJox6kZU0loZOOfqPN9Yift4SsvUsc9eMg/edit?usp=drivesdk,3/1/2023,,,
Работа целителя. Трансформация энергии,https://www.youtube.com/watch?v=Xtp1tOYGJQk,Каким образом целители работают с различными энергиями и сущностями в пространстве человека и насколько важно внутреннее желание пациента освободиться от них?,https://docs.google.com/document/d/1bBgdjzGIbSGMifQdElm_0W45eGmGPTC6W_0h3aiRdio/edit?usp=drivesdk,Done,Целительство и Энергетические практики,https://docs.google.com/document/d/1u1kLw-6UKJanp-8OMzEyquNy3i44zdfyYCWXeQtK-xQ/edit?usp=drivesdk,2/28/2023,,,
Что такое просветление и пробуждение,https://www.youtube.com/watch?v=BRGm5vyH2Fo,Какие этапы пробуждения и просветления человека описываются в тексте?,https://docs.google.com/document/d/1Cd5KAk2igdHKbuUJzJEXcu7Lv1bLTiDFn-VWrXc5iws/edit?usp=drivesdk,In Process,Внутренние развитие,https://docs.google.com/document/d/1o7kD3sSsqQOtz13Xt_StHBIqH8VGHkmPVqm5QxSGIX8/edit?usp=drivesdk,2/27/2023,Шкарубо Лена,,
Индивидуальность и вселенная,https://www.youtube.com/watch?v=cqCfeeTR-jk,"Основной вопрос текста: как связаны индивидуальность и вселенная, и как можно достигнуть гармонии через понимание своей собственной природы?",https://docs.google.com/document/d/1i-GgeCl3ict8EqlP3P0LvqtoiQvwnL4QpmBwZiZuDyA/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/106ndkQ-O9fPykDZGBlredgyZLn1owVY3DNpmxVZIBpk/edit?usp=drivesdk,2/27/2023,,,
Контакт с растением. Слияние энергий,https://www.youtube.com/watch?v=TqTLMqFT2xU,Какова роль контакта с растениями и их энергий в процессе самоисцеления и трансформации человека?,https://docs.google.com/document/d/1bS1q5rqu3Tk0pVpMF2ytvyUbrns2dhjMFC7O140REDI/edit?usp=drivesdk,In Process,Растения Учителя и Процесс Диеты,https://docs.google.com/document/d/1B0bhD6hRxRC4x3Me6f4aJsdGJd_j9kDabvIElxzJxbI/edit?usp=drivesdk,2/27/2023,,,
Внутренее определение. Рептилоиды и их роль,https://www.youtube.com/watch?v=MfPsi61xqgU,Основной вопрос текста - роль рептилоидов и их влияние на развитие человечества.,https://docs.google.com/document/d/1mMSIEq0HV67yjUEvhnePIGaL0Q-4vebEcURUUuvPpyE/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1s8fV5b3d-d7yKVF9cLT60046fCfCkeqdtF0z1hdr6zo/edit?usp=drivesdk,2/27/2023,Танюша,,
Что такое наслаждение. Нирвана,https://www.youtube.com/watch?v=SuL2lpn2QV4,Чем мы должны служить в этом мире и как мы можем вернуться к сакральному служению?,https://docs.google.com/document/d/1KQZm__2tv8do1o3W3qv4RpNLnsk-pkcWJZY57cj9Hd0/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1u0i2SPB6xcxU_c4pQk2w1CBTLrM1ufYxHMZV0-BYHiE/edit?usp=drivesdk,2/15/2023,,,
Сакральное женское и мужское. Феменизм,https://www.youtube.com/watch?v=iT_H9PoeqOs,"Каково значение сакрального женского и мужского пространства, и насколько важно идти в соответствии с мировыми процессами, происходящими сейчас, особенно в контексте пробуждения женской энергии?",https://docs.google.com/document/d/1kyo3vpVF9YzIkmEudBv5ed5TqqTuWWN5NzT87RMxsqA/edit?usp=drivesdk,Done,"Взаимоотношения и семья, Внутренние развитие",https://docs.google.com/document/d/1jWY-X9GGE-56NfqAlcmyrpqHt_gIhNYLEiopPFtMvOw/edit?usp=drivesdk,1/23/2023,Шкарубо Лена,,
Употребление насекомых. Кому это нужно,https://www.youtube.com/watch?v=fpxmlBFRaS0,Какое влияние насекомые имеют на человечество и какие манипуляции происходят через моду в этом контексте?,https://docs.google.com/document/d/1Z2SFhqvx1LXiSpZM0lGL6r-aRr0mtbebK5_EIdizm7E/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1mX-j3bofXsYieZ2JnW0KVllEzE45mclNcF481JY-IfM/edit?usp=drivesdk,1/22/2023,,,
Любовь в паре,https://www.youtube.com/watch?v=xl6zuw8fnrU,"Основной вопрос текста заключается в том, можно ли испытывать сильные чувства к двум людям одновременно и является ли это настоящей любовью или просто соглашением по взаимной выгоде в отношениях.",https://docs.google.com/document/d/1PKPZwjPZCENTlQC2zq2TuyXVwfNoSBgiWy1OXHveCmo/edit?usp=drivesdk,Done,Взаимоотношения и семья,https://docs.google.com/document/d/1_j8k1SMK6zCJujANNhYIa0IOOv2JoIMTQE1jLcJOtpg/edit?usp=drivesdk,1/22/2023,,,
Как отличить добро от зла. Политические манипуляции,https://www.youtube.com/watch?v=nSHz2_M6XwQ,"Как отличить добро от зла в условиях политических манипуляций и как найти внутреннее равновесие в мире, где каждый выбор влияет на будущее человечества?",https://docs.google.com/document/d/1QYYir4fg_GmnNYl4wJ15FYMU3e6rzdmtrdSTps0hNbc/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1RwvSkCR0ezjNUsMaQs9hWIBbZ4nffBVIjmPwI7zKBwU/edit?usp=drivesdk,1/21/2023,,,
Что такое страхи. Манипуляции состоянием,https://www.youtube.com/watch?v=xTbj2zFDd8E,"Какие страхи существуют, откуда они происходят и почему они так хорошо скрываются?",https://docs.google.com/document/d/1xYp44ghFTgsRxWNdF30jSzEFIADef4it7v1irswyWeI/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1kNXIUunFkd-MHDhl_K6panIdVVTlfc1wGsQ_7Qt5x4M/edit?usp=drivesdk,1/14/2023,Алина,,
Диета с Лимоном,https://www.youtube.com/watch?v=xWirrjvOSAM,Какова основная идея диеты с лимоном и какие противопоказания существуют?,https://docs.google.com/document/d/1Cj-v9S_FRFWAuqH35tbo6t6ZC6QiCxlVdtcz155J2vQ/edit?usp=drivesdk,Done,Растения Учителя и Процесс Диеты,https://docs.google.com/document/d/1CVtDDAQE4QXPYgmcVkTcAZJOEUuRF8WC4Kr7nO42xg4/edit?usp=drivesdk,1/9/2023,Алина,,
Эгоизм в материальном. Празднование жизни,https://www.youtube.com/watch?v=s3gue1TZ5F0,Основной вопрос текста: Как минимизировать эгоизм и праздновать жизнь через служение?,https://docs.google.com/document/d/16o8SHidXSeaKouzTRfVYGvczyzAhWJbIHLXq3j__3rk/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1lAMOGFvBhn9GW9MEy1DKT4QYicZg2eR1TU77Sd-7WRQ/edit?usp=drivesdk,1/8/2023,,,
Обращение к высшим силам. Молитва,https://www.youtube.com/watch?v=ReRk5vJSsNc,"Как определять истинные послания от ложных и как синхронизировать свою жизнь с Высшими Силами через молитву и служение, соответствуя концепции фортуны и удачи.",https://docs.google.com/document/d/1BxzpUCOJgYgUC5cGmJFeEQkG6mYaZsv9EwRCrOZPnds/edit?usp=drivesdk,Not Edited,Целительство и Энергетические практики,https://docs.google.com/document/d/1IQacMsjhIiendAIVAcBVhCsQP1U6riGgcPCX8EfEooo/edit?usp=drivesdk,1/8/2023,,,
Аяваска шаманизм,https://www.youtube.com/watch?v=kvl4lSI84RI,"Как вы относитесь к различиям между диетой Дос Мундос и шаманской диетой, и какие могут быть последствия от употребления айаваски?",https://docs.google.com/document/d/11sADfRte4bjx-slVy_pOWv4go8z1kVKNTmm3sRERe-E/edit?usp=drivesdk,Done,"Растения Учителя и Процесс Диеты, Целительство и Энергетические практики",https://docs.google.com/document/d/1dZVWCM_Mf2PZUarICWmf6AzgNqBfTvw46MnQaS-wZgo/edit?usp=drivesdk,12/30/2022,Алина,,
Диета с Охэ,https://www.youtube.com/watch?v=UCAznyOPKEw,"Какие виды диеты с Охэ существуют, и возможно ли пить его вне контекста Досмундоса без вреда для организма?",https://docs.google.com/document/d/1LIy4iRZH8R7QBwxIzLc_CyrzD43eWlJJXPLTeYQm0bI/edit?usp=drivesdk,In Process,Растения Учителя и Процесс Диеты,https://docs.google.com/document/d/1UmmDCbCjsH4CkYkmFvQTK0gAjkA-Ri19XHEHU_3CTDI/edit?usp=drivesdk,12/29/2022,Алина,,
Шаманы и Целители,https://www.youtube.com/watch?v=-OPka6VkL_w,"Как сравниваются шаманы и целители, и как они помогают людям с айоваской, и как можно найти своего собственного учителя или шамана.",https://docs.google.com/document/d/1EefbDidKR3WAxZGnJ4IJEE1ONhimhA3Oq1HxjH6zIdc/edit?usp=drivesdk,Done,"Целительство и Энергетические практики, Растения Учителя и Процесс Диеты",https://docs.google.com/document/d/1fmG6oVoZVLH9jrX7A-X9qSKYy5s9GaiygX_8Qp3ZegA/edit?usp=drivesdk,9/7/2022,Алина,,
Аяваска с Чакруной,https://www.youtube.com/watch?v=AqQpNlBgWGc,Каково воздействие аяваски с чакруной на эмоциональные и духовные процессы и нужно ли это индивидуально подбирать для каждого человека?,https://docs.google.com/document/d/1HjHjUFBivJn-iFNDXXBe_KLatJgfR6X4j3saI_s2dII/edit?usp=drivesdk,Not Edited,Растения Учителя и Процесс Диеты,https://docs.google.com/document/d/1Kmyf1OzNQPnA17q5vhfsZXIKlM5KgiJ79ffIaWEPdXM/edit?usp=drivesdk,7/24/2022,,,
Что такое любовь,https://www.youtube.com/watch?v=--ZBsLfX5To,Как можно понять суть и значение любви к другим людям?,https://docs.google.com/document/d/1Y8qvm2BBuWZthxHxs1ffBN6ZSJ4sSxAFxgRr3Zg6SL0/edit?usp=drivesdk,Not Edited,,https://docs.google.com/document/d/1Z2RmT02ZsoJcUV0UM458g6sG8gaUGJ1DoXixzRmrW8o/edit?usp=drivesdk,7/22/2022,,,
